7zip 26.03-1.1
perl-xml-tokeparser 0.05-4
perl-xml-writer 0.900-6
perl-yaml-tiny 1.76-3
phantomjs-git 1:3.0.0dev+31+0a0b0facb-1
phodav 3.0-4.2
phoneinfoga v2.11.0.r3.g041f34a-1
phonon-qt6 4.12.0-6.1
phonon-qt6-vlc 0.12.0-6.1
php-legacy 8.3.33-1.1
picard-git 3.0.0b4.r41.g4d86b43ca-1
pigz 2.8-2.2
pinentry 1.3.3-1.1
pinentry-bemenu 0.14.0-2.1
pinentry-dmenu 0.2.2-2
piper-tts-git 1:1.8.0.r0.g639388b-1
piper-voices-common 1.0.0-7
piper-voices-en-gb 1.0.0-5
piper-voices-en-gb-alan 1.0.0-5
piper-voices-en-gb-alba 1.0.0-5
piper-voices-en-gb-aru 1.0.0-5
piper-voices-en-gb-cori 1.0.0-5
piper-voices-en-gb-jenny_dioco 1.0.0-5
piper-voices-en-gb-northern_english_male 1.0.0-5
piper-voices-en-gb-semaine 1.0.0-5
piper-voices-en-gb-southern_english_female 1.0.0-5
piper-voices-en-gb-vctk 1.0.0-5
piper-voices-en-us 1.0.0-5
piper-voices-en-us-amy 1.0.0-5
piper-voices-en-us-arctic 1.0.0-5
piper-voices-en-us-bryce 1.0.0-5
piper-voices-en-us-danny 1.0.0-5
piper-voices-en-us-hfc_female 1.0.0-5
piper-voices-en-us-hfc_male 1.0.0-5
piper-voices-en-us-joe 1.0.0-5
piper-voices-en-us-john 1.0.0-5
piper-voices-en-us-kathleen 1.0.0-5
piper-voices-en-us-kristin 1.0.0-5
piper-voices-en-us-kusal 1.0.0-5
piper-voices-en-us-l2arctic 1.0.0-5
piper-voices-en-us-lessac 1.0.0-5
piper-voices-en-us-libritts_r 1.0.0-5
piper-voices-en-us-ljspeech 1.0.0-5
piper-voices-en-us-norman 1.0.0-5
piper-voices-en-us-reza_ibrahim 1.0.0-5
piper-voices-en-us-ryan 1.0.0-5
piper-voices-en-us-sam 1.0.0-5
piper-voices-pt-br 1.0.0-5
piper-voices-pt-br-cadu 1.0.0-5
piper-voices-pt-br-edresson 1.0.0-5
piper-voices-pt-br-faber 1.0.0-5
piper-voices-pt-br-jeff 1.0.0-5
pipewire 1:1.6.8-1.1
pipewire-audio 1:1.6.8-1.1
pipewire-jack 1:1.6.8-1.1
pipewire-pulse 1:1.6.8-1.1
pipewire-session-manager 1:1.6.8-1.1
pipewire-v4l2 1:1.6.8-1.1
pixiewps 1.4.2-4.2
pixman 0.46.4-1.1
pkcs11-helper 1.31.0-1.1
pkgconf 3.0.6-1.1
plasma-activities 6.7.4-1.1
plasma-activities-stats 6.7.4-1.1
plasma-applets-weather-widget-3 3.0.4-2.2
plasma-bigscreen 6.7.4-1.1
plasma-browser-integration 6.7.4-1.1
plasma-desktop 6.7.4-1.1
plasma-disks 6.7.4-1.1
plasma-firewall 6.7.4-1.1
plasma-integration 6.7.4-6
plasma-keyboard 6.7.4-1.1
plasma-login-manager 6.7.4-1.1
plasma-meta 6.7-2
plasma-nano 6.7.4-1.1
plasma-nm 6.7.4-1.1
plasma-pa 6.7.4-1.1
plasma-sdk 6.7.4-1.1
plasma-systemmonitor 6.7.4-1.1
plasma-thunderbolt 6.7.4-1.1
plasma-vault 6.7.4-1.1
plasma-wayland-protocols-git 1.21.0.r7.gc421474-1
plasma-welcome 6.7.4-1.1
plasma-workspace 6.7.4-4
plasma-workspace-wallpapers 6.7.4-1
plasma5support 6.7.4-1.1
playwright 1.62.1-2
playwright-cli 0.1.18-1
playwright-mcp 0.0.80-1
plex-media-server-plexpass 1.43.4.10903-1
plocate 1.1.24-2.1
plymouth 26.134.222-2.1
plymouth-kcm 6.7.4-1.1
plymouth-theme-pedro-raccoon 1.1-1
pm2ml 2021.11.20.1-15.2
png++ 0.2.10-3
png2svg 1.7.1-1.1
pngcrush 1.8.13-4.1
pngquant 3.0.3-3.1
pnpm 11.3.0-1
po-debconf 1.0.22-2
po4a 0.74-1
podofo 0.10.6-1.1
polkit 127-3.1
polkit-kde-agent 6.7.4-1.1
polkit-qt5 0.201.1-1.1
polkit-qt6 0.201.1-1.1
polyphone 2.6.0-1.1
poppler 26.08.0-1.1
poppler-data 0.4.12-2
poppler-glib 26.08.0-1.1
poppler-qt5 26.08.0-1.1
poppler-qt6 26.08.0-1.1
popt 1.19-2.2
portaudio 1:19.7.0-4.1
portmidi 1:2.0.8-1.1
portsmf 234-3.2
postgresql 18.6-1.1
postgresql-libs 18.6-1.1
potrace 1.16-5.1
powerdevil 6.7.4-3.1
powerline 2.8.4-4.1
powerline-fonts-git r215.a029626-1
powerpill 2021.11-15.1
powershell-bin 7.6.5-1
ppp 2.5.3-1.1
pretext-pdf 2.2.6.r0.gd1a4ae4-1
prettier 3.8.1-1
prettier-plugin-xml 3.4.1-1
print-manager 1:6.7.4-1.1
prison 6.29.0-1.1
process-compose 1.46.0-1
procps-ng 4.0.7-1
proj 9.8.1-1.1
projectm 3.1.12-5.2
protobuf-c 1.5.2-14.1
protobuf-git 35.0.r418.ge86e536349-1
protobuf35.1-compat 35.1-1
proton-ge-custom-bin 1:GE_Proton11_6-1
protontricks-git 1.14.1.r14.gb522517-1
protonup-git 0.1.5.r6.gd702a3e-1
proxmark3 4.20142-2.1
proxychains-ng 4.17-3.1
proxytunnel 1.13.0-1.1
prrte 3.0.14-1.1
prrte-docs 3.0.14-1.1
psmisc 23.7-2.1
psst-git r648.3c3621a-1
ptunnel 0.72-7.1
publicsuffix-list 20260507.2070.ee780bcf-1
pugixml 1.16-1.1
pulse-native-provider 1:1.6.8-1.1
pulseaudio-qt 1.8.1-1.1
purpose 6.29.0-1.1
pvoc 0.1.12-6.2
pwndbg 2026.07.29-1
pyalpm 0.11.1-1.1
pybind11 3.1.0-1
pyenv 1:2.8.4-1
pyenv-virtualenv 1:1.4.0-1
pypinyin 0.55.0-2
pyrefly 1.2.0-1
pyside6 6.11.2-1.1
pyside6-tools 6.11.2-1.1
pystring 1.2.0-1.1
python 3.14.7-1.1
python-aaf2 1.7.1-4
python-absl 2.5.0-1
python-accelerate 1.12.0-1
python-accessible-pygments 0.0.5-3
python-acme 5.7.0-1
python-aiofiles 25.1.0-2
python-aiohappyeyeballs 2.7.1-1
python-aiohttp 3.13.5-1
python-aioquic 1.3.0-1.1
python-aiosignal 1.4.0-3
python-aiosqlite 0.22.1-1
python-alembic 1.19.2-1
python-alpm 0.4.3-1.1
python-annotated-doc 0.0.5-1
python-annotated-types 0.8.0-1
python-anthropic 0.109.1-1
python-anyio 4.15.1-1
python-appdirs 1.4.4-12
python-apscheduler 3.11.2-2
python-apsw 3.53.4.0-1.1
python-archinfo 9.2.221-1
python-argcomplete 3.7.2-1
python-argon2-cffi 25.1.0-2
python-argon2-cffi-bindings 25.1.0-2.1
python-arrapi 1.4.14-1
python-arrow 1.4.0-2
python-asgiref 3.12.1-1
python-asn1crypto 1.5.1-6
python-ast-serialize 0.3.0-2.1
python-astor 0.8.1-10
python-asttokens 3.0.2-1
python-astunparse 1.6.3-10
python-async-lru 2.3.0-1
python-attrs 26.1.0-1
python-audioop-lts 0.2.2-2.1
python-audioread 3.1.0-3
python-autocommand 2.2.2-9
python-automat 25.4.16-2
python-av 18.1.0-1.1
python-babel 2.18.0-1
python-babelfish 0.6.1-3
python-basemap 2.0.0-3.1
python-basemap-common 2.0.0-3.1
python-bcrypt 5.0.0-2.1
python-beautifulsoup4 4.15.0-1
python-bidict 0.23.1-5
python-binaryornot 0.6.0-1
python-bitarray 3.8.1-1.1
python-bitstring 4.4.0-1
python-black 26.5.1-1
python-bleach 6.4.0-1
python-blessed 1.49-1
python-blinker 1.9.0-4
python-blis 1.3.3-3
python-blosc 1.11.4-1.1
python-bluepy 1.3.0-12.1
python-boolean.py 5.0-2
python-botocore 1.42.91-1
python-bottle 0.13.4-1
python-bottleneck 1.6.0-2.1
python-brltty 6.9.1-3.1
python-brotli-git 1.2.0.r132.gf0328d1-1
python-brotlicffi 1.2.0.2-1.1
python-bs4 0.0.2-1
python-build 1.6.0-1
python-cachetools 7.1.8-1
python-cairo 1.29.1-1.1
python-cairocffi 1.7.1-2
python-cairosvg 2.9.0-1
python-can 4.6.1-2
python-capng 0.9.5-1.1
python-capstone 5.0.9-1.1
python-capstone6pwndbg 6.0.0Alpha9-1.1
python-casttube 0.2.1-7
python-catalogue 1:2.0.10-1
python-cbor2 6.1.4-1.1
python-certifi 2026.07.22-1
python-cffi 2.1.1-1.1
python-chardet 6.0.0.post1-1
python-charset-normalizer 3.5.1-1
python-cheetah3 3.4.0.post5-1.1
python-cheroot 11.1.2-2
python-cherrypy 18.10.0-3
python-click 8.3.3-1
python-cloudflare 5.7.0-1
python-cloudpickle 3.1.2-3
python-cloudscraper 3.0.0-2
python-colorama 0.4.6-6
python-colored-traceback 0.4.2-2
python-comm 0.2.3-2
python-commonmark 0.9.2-1
python-confection 1.3.3-1
python-configargparse 1.7.5-1
python-configobj 5.0.9-6
python-constantly 23.10.4-3
python-contourpy 1.3.3-4.1
python-cramjam 2.11.0-3.1
python-crc32c 2.9-1.1
python-cron-converter 2.0.1-1
python-crypt_r 3.13.1-1.1
python-cryptography 50.0.1-1.1
python-css-parser 1.1.1-1
python-cssselect 1.5.0-1
python-cssselect2 0.10.1-1
python-curio 1.6-7
python-curl_cffi 0.16.3-1.1
python-curtsies 0.4.3-2
python-cwcwidth 0.1.12-2.1
python-cycler 0.12.1-4
python-cymem 2.0.13-1.1
python-darkdetect 0.8.0-5
python-dasbus 1.7-5
python-dask 2026.8.0-1
python-dataclasses-json 0.6.7-2
python-datasets 5.0.1-1
python-dateutil 2.9.0-8
python-dbus 1.4.0-2.1
python-debian 1.1.1-1
python-decorator 5.3.1-1
python-defusedxml 0.7.1-8
python-deprecated 1.3.1-2
python-deprecation 2.1.0-12
python-diffusers 0.38.0-1
python-dill 0.4.1-1
python-dirty-equals 0.11.0-2
python-discid 1.4.2-1
python-distlib 0.4.3-1
python-distributed 2026.8.0-1
python-distro 1.9.0-4
python-distutils-extra 2.39-15
python-dnspython 1:2.8.0-3
python-doclang 0.7.3-1
python-docling 2.125.0-1
python-docling-core 2.95.0-1
python-docling-ibm-models 4.0.2-2
python-docling-parse 7.17.0-1
python-docopt 0.6.2-15
python-docstring-parser 0.18.0-1
python-docutils 1:0.23-1
python-docx 1.2.0-1
python-donfig 0.8.1.post1-1
python-dotenv 1.2.3-1
python-dulwich 1.2.14-1.1
python-dunamai 1.26.2-1
python-easyprocess 1.1-7
python-editables 0.6-1
python-editorconfig 0.17.1-1
python-einops 0.9.0dev-2
python-email-validator 2.3.0-2
python-engineio 4.13.3-1
python-enrich 1.3.0-3
python-entrypoint2 1.1-7
python-espeakng-loader 0.2.4-1
python-et-xmlfile 2.0.0-3
python-etils 1.14.0-1
python-evaluate 0.4.6-1
python-evdev 2.0.0-1.1
python-eventlet 0.41.0-1
python-execnet 2.1.2-3
python-executing 2.2.1-3
python-exifread 3.5.1-1.1
python-fastapi 0.141.1-1
python-fastbencode 0.3.11-1.1
python-fastembed 0.8.0-1
python-fastfingertips 0.1.4-1
python-fastjsonschema 2.21.2-2
python-fastnumbers 5.2.0-1.1
python-faust-cchardet 3.2.0-1.1
python-feedparser 6.0.14-1
python-feedparser-sgmllib 2.1.0-1
python-filebytes 0.10.2-10
python-filelock 3.31.0-1
python-filetype 1.2.0-7
python-fixtures 4.3.2-1
python-flask 3.1.3-1
python-flask-compress 1.24-1
python-flask-socketio 5.6.1-1
python-flatbuffers 25.12.19-4.1
python-flax 0.12.8-1
python-fluidity 0.2.1-8
python-fonttools 4.64.0-1.1
python-fpdf2 2.8.7-1
python-frozenlist 1.8.0-2.1
python-fs 2.4.16-6
python-fsspec 2026.7.0-1
python-func-timeout 1:4.3.6-3
python-gast 0.7.0-3
python-gear-svd-xpu 0.1.0-5
python-genson 1.3.0-11
python-gevent 26.8.0-1.1
python-gevent-websocket 0.10.1-13
python-gguf 0.17.1-1
python-gitdb 1:4.0.12-2
python-gitpython 3.1.61-1
python-gmpy2 2.3.1-1.1
python-gnupg 0.5.6-2
python-gnuradio 3.10.12.0-17.1
python-gobject 3.56.3-1
python-google 3.0.0-9
python-google-auth 2.57.0-1
python-google-crc32c 1.8.0-1
python-google-genai 2.8.0-1
python-googleapis-common-protos 1.75.2-1
python-graphviz 0.21-2
python-greenlet 3.5.1-1.1
python-grpcio 1.83.1-1.1
python-grpcio-tools 1.83.1-1.1
python-grpclib 0.4.9.r0.g0d27158-1
python-gssapi 1.11.1-1.1
python-guessit 4.4.0-1
python-h11 0.16.0-2
python-h2 4.4.1-1
python-h5py 3.16.0-1.1
python-hachoir 3.3.0-2
python-hatch-vcs 0.5.0-4
python-hatchling-git 1.30.1.r1.g8cf60965-1
python-heapdict 1.0.1-9
python-helpdev 0.7.1-10
python-hf-xet 1.6.0-1.1
python-hiredis 3.3.1-1.1
python-hpack 4.2.0-1
python-html2text 2025.4.15-2
python-html5-parser 0.4.12-5.1
python-html5lib 1.1-18
python-httpcore 1.0.9-3
python-httpcore2 2.3.0-1
python-httplib2 0.32.0-1
python-httptools 0.8.0-1.1
python-httpx 0.28.1-7
python-httpx-sse 0.4.3-1
python-httpx2 2.3.0-1
python-huggingface-hub 1:1.30.0-1
python-humanize 4.16.0-1
python-hyperframe 6.1.0-2
python-hyperlink 21.0.0-8
python-hypothesis 6.167.0-1.1
python-idna 3.19-1
python-ifaddr 0.2.0-7
python-imagecodecs 2026.8.16-1
python-imageio 2.37.4-1
python-imagesize 2.0.1-1
python-importlib-metadata 9.0.1-1
python-importlib_resources 6.5.2-2
python-incremental 24.11.0-1
python-inflate64 1.0.4-2.1
python-inflect 7.5.0-2
python-iniconfig 2.3.0-1
python-inline-snapshot 0.32.6-1
python-installer 1.0.1-1
python-intervaltree 3.2.1-1
python-invoke 3.0.3-1
python-ipp 2026.0.0-3
python-ipykernel 7.3.0-1
python-ipython-pygments-lexers 1.1.1-3
python-isodate 0.7.2-3
python-itemadapter 0.13.1-1
python-itemloaders 1.4.0-1
python-itsdangerous 2.2.0-2
python-jaconv 0.5.0-1
python-jaraco.classes 3.4.0-3
python-jaraco.collections 5.1.0-3
python-jaraco.context 6.1.2-1
python-jaraco.functools 4.1.0-3
python-jaraco.text 4.0.0-4
python-jax 0.9.0-1
python-jaxlib 0.9.0-4
python-jaxtyping 0.3.8-1
python-jedi 0.19.2-4
python-jeepney 0.9.0-3
python-jinja 1:3.1.6-3
python-jinxed 2.1.0-1
python-jiter 0.16.0-1.1
python-jmespath 1.1.0-1
python-joblib 1.6.0-2
python-josepy 2.2.0-2
python-jsbeautifier 2.0.3-1
python-json-logger 4.1.0-1
python-json5 0.15.0-1
python-jsonlines 4.0.0-6
python-jsonref 1.1.0-1
python-jsonschema 4.26.0-1
python-jsonschema-specifications 2025.9.1-2
python-jupyter-builder 1.2.3-1
python-jupyter-client 8.10.0-1
python-jupyter-core 5.9.1-2
python-jupyter-events 0.12.1-1
python-jupyter_kernel_gateway 3.0.1-1
python-jupyterlab-server 2.28.0-2
python-kaitaistruct 0.11-2
python-keras 3.15.1-1
python-keyring 25.7.0-3
python-keyrings-alt 1:5.0.2-3
python-kivi-xpu 0.1.0-5
python-kiwisolver 1.5.1-1.1
python-langcodes 3.5.1-1
python-lark-parser 1.3.1-2
python-latex2mathml 3.81.0-1
python-lazy-loader 0.5-1
python-ldap3 2.9.1-10
python-ldapdomaindump 0.10.0-2
python-legacy-cgi 2.6.4-2
python-letterboxdpy 6.5.7-2
python-lexicon 3.0.0-2
python-librosa 1.0.0-1
python-librt 0.11.0-1.1
python-libusb1 3.3.1-2
python-license-expression 30.4.4-2
python-llvmlite 0.49.0-1.1
python-locket 1.0.0-7
python-loguru 0.7.3-2
python-lxml 6.1.3_1-1.1
python-lxml-html-clean 0.4.5-1
python-lz4 4.4.5-2.1
python-magic 1:0.4.27-6
python-mako 1.3.12-1
python-markdown 3.10.3-1
python-markdown-it-py 4.2.0-1
python-markdown2 2.5.5-1
python-markdownify 1.2.3-1
python-markupsafe 3.0.3-1.1
python-marshmallow 4.3.1-1
python-matplotlib 3.11.1-1
python-matplotlib-inline 0.2.2-1
python-maturin-git 1.14.1.r40.ga6743cd7-1
python-mcp 1.29.0-1
python-mdurl 0.1.2-9
python-mechanize 1:0.4.10-3
python-merge3 0.0.16-2
python-mistune 1:3.3.4-1
python-mitmproxy-rs 0.12.11-1.1
python-mkl 2026.0.0-1
python-ml-dtypes 0.6.0-1
python-mmh3 5.2.1-1
python-mock 5.2.0-1.1
python-more-itertools 11.1.0-1
python-mpegdash 0.4.1-1
python-mpmath 1.4.1-1
python-mpv 1.0.8-2
python-msgpack 1.1.2-2.1
python-mss 10.2.0-1
python-multidict 6.7.1-1.1
python-multiprocess 0.70.19-1
python-multivolumefile 0.2.3-10
python-mupdf 1.28.0-1
python-murmurhash 1.0.15-2
python-musicbrainzngs-git 0.7.1.r20.g1638c62-4
python-mutagen-git 1.48.1.r1.g3cf8a79-1
python-mypy_extensions 1.1.0-2
python-narwhals 2.25.0-1
python-natsort 8.4.0-4
python-nest-asyncio 1.6.0-5
python-netifaces 0.11.0-9.1
python-networkx 3.6.1-1
python-niche-elf 0.3.6-1
python-nncf 3.2.0-2
python-notify2 0.3.1-12
python-num2words 0.5.14-3
python-numba 0.67.0-1.1
python-numcodecs 0.16.5-1
python-numexpr 2.14.2-1.1
python-numpy 2.5.2-1.1
python-oauth2client 4.1.3-12
python-oauthlib 3.3.1-2
python-olefile 0.47-5
python-onnx 1:1.22.0-3.1
python-onnx-ir 0.2.1-1.1
python-onnxruntime-cpu 1.29.0-2
python-onnxscript 0.7.0-1
python-openai 2.53.0-1
python-opencv 5.0.0-9
python-opengl 3.1.10-3
python-openpyxl 3.1.5-3
python-openvino-git 2026.3.1.r546.gec4aa1d1588-1
python-openvino-ipex-bridge 0.1.0-4
python-openvino-telemetry 2025.2.0-1
python-opt_einsum 3.4.0-2
python-optax 0.2.8-1
python-optimum 2.2.0-1
python-optimum-intel 2.1.0.dev0-1
python-optimum-onnx 0.1.0-1
python-optree 0.20.0-1
python-orbax-checkpoint 0.11.33-1
python-orbax-export 0.0.8-1
python-orjson 3.12.0-1.1
python-oscrypto 1.3.0-8
python-outcome 1.3.0.post0-7
python-packaging 26.3-1
python-pagelabels 1.2.1-1
python-pandas 2.3.3-2.1
python-pandocfilters 1.5.1-4
python-param 2.4.1-1
python-paramiko 5.0.0-1
python-parsedatetime 2.6-11
python-parsel 1.11.0-1
python-parso 1:0.8.7-1
python-partd 1.4.2-2
python-passlib 1.7.4-13
python-pasta 0.2.0-11
python-pathlib 1.0.1-2
python-pathspec 1.1.1-1
python-pathvalidate 3.3.1-1.1
python-patiencediff 0.2.19-1.1
python-pdf2image 1.17.0-1.10
python-pdfminer 20260107-1
python-pdfplumber 0.11.9-1
python-pdfrw 0.4_2-1
python-pdftext 0.6.3-3
python-pdftotext 4.0.0-1.1
python-pdm-backend 2.4.9-1
python-pefile 2024.8.26-2
python-peft 0.19.2.dev0-1
python-pexpect 4.9.0-7
python-pickleshare 0.7.5-12
python-pikepdf 10.13.0.post1-1.1
python-pilkit 3.0-4
python-pillow 12.3.0-1.1
python-pillow-heif 1.6.0-1.1
python-pillow-heif-docs 1.6.0-1.1
python-pillow-jpegxl-plugin 1.3.8-1.1
python-pillowfight 0.3.1-4.1
python-pip 26.2.1-1
python-pkg_resources 81.0.0-1
python-pkgconfig 1.6.0-1
python-plac 1.4.5-2
python-platformdirs 4.11.7-1
python-plexapi 4.18.2-1
python-plotly 7.0.0-1
python-pluggy 1.6.0-3
python-plumbum 1.10.0-1
python-ply 3.11-17
python-poetry-core 2.4.1-1
python-pooch 1.9.0-1
python-portend 3.2.1-2
python-preshed 1:3.0.13-1
python-priority 2.0.0-8
python-prometheus_client 0.26.0-1
python-prompt_toolkit 3.0.53-1
python-propcache 0.4.1-2.1
python-protego 0.6.2-1
python-protobuf-git 35.0.r418.ge86e536349-1
python-psutil 7.2.2-1
python-psycopg2 2.9.12-1.1
python-pt r20240401.114.50227bd-3
python-ptrace 0.9.9-5
python-ptyprocess 0.7.0-9
python-publicsuffix2 2.20191221-10
python-pure-eval 0.2.3-3
python-puremagic 2.2.0-1
python-pwntools 4.15.0-2
python-py-cpuinfo2 10.1.1-1
python-py-rust-stemmers 0.1.8-1
python-py7zr 1.1.3-1
python-pyaes 1.6.1-13
python-pyamg 5.3.0-2
python-pyaml 26.7.0-1
python-pyarrow 25.0.1-1.1
python-pyasn1 0.6.4-1
python-pyasn1-modules 0.4.2-2
python-pybcj 1.0.8-1.1
python-pybluez 0.23.r58.g4d46ce1-5.1
python-pychm 0.8.6-11.1
python-pychromecast 14.0.10.r46.ge03d2e7-1
python-pycparser 3.00-1
python-pycryptodome 3.23.0-2.1
python-pycryptodomex 3.23.0-3.1
python-pyct 0.6.0-1
python-pycups 2.0.4-4.1
python-pydantic 2.13.4-1
python-pydantic-core 3:2.46.4-1.1
python-pydantic-extra-types 2.11.2-1
python-pydantic-settings 2.15.0-1
python-pydispatcher 2.0.7-4
python-pydot 4.0.1-1
python-pydyf 0.12.1-2
python-pyelftools 0.33-1
python-pygccxml 3.0.2-2
python-pygdbmi 0.11.0.0-6
python-pygit2 1.20.0-1.1
python-pygments 2.21.0-1
python-pygraphviz 2.0.1-2.1
python-pyjwt 2.13.0-1
python-pykakasi 2.3.0-3
python-pylast 7.1.0-1
python-pylsqpack 0.3.24-1.1
python-pylysearch 0.2.0-1
python-pymupdf 1.28.0-1.1
python-pynacl 1.6.2-1.1
python-pynvim 0.6.0-2
python-pyopenssl 26.4.0-1
python-pyparsing 3.3.2-1
python-pypdf2 2:3.0.1-1.2
python-pypdfium2 5.9.0-1
python-pyperclip 1.11.0-2
python-pyperclipimg 0.2.0-2.1
python-pyphen 0.18.1-1
python-pypng 0.20250521.0-2
python-pyppmd 1.2.0-2.1
python-pypresence 4.6.2-1
python-pyproj 3.7.2-1.1
python-pyproject-hooks 1.2.0-6
python-pyproject-metadata 0.9.0-3
python-pyqt5 5.15.11-7.1
python-pyqt5-sip 12.19.0-1.1
python-pyqt6 6.11.0-3.1
python-pyqt6-sip 13.12.0-1.1
python-pyqt6-webengine 6.11.0-1
python-pyqtgraph 0.14.0-2
python-pyquery 2.1.0-1
python-pyrfc3339 2.1.0-1
python-pyro 5.17-1
python-pyscreenshot 3.1-9
python-pysdl3 0.9.12b1-1.1
python-pyserial 3.5-8
python-pysmi 2.0.0-2
python-pysnmp 7.1.29-1
python-pysocks 1.7.1-12
python-pystray 0.19.5-7
python-pytables 3.11.1-3
python-pytesseract 0.3.13-4
python-pytest 1:9.1.0-1
python-pytest-asyncio 1.4.0-1
python-pytest-examples 0.0.18-2
python-pytest-timeout 2.5.0-1
python-pytest-xdist 3.8.0-3
python-python-discovery 1.6.0-1
python-python-multipart 0.0.32-1
python-pythonwhois 2.4.3-11
python-pytokens 0.4.1-1
python-pytorch-opt-xpu 2.13.0-7
python-pytrie 0.4.0-10
python-pytz 2026.1-1
python-pyudev 0.24.4-1
python-pyusb 1.3.1-2
python-pyvex 9.2.221-1.1
python-pywavelets 1.9.0-2
python-pyxdg 0.28-7
python-pyyaml-env-tag 1.1-1
python-pyzmq 27.2.0-1.1
python-pyzstd 0.19.1-3.1
python-qrcode 8.2-2
python-qrencode 1.2-16.1
python-qscintilla-qt6 2.14.1-6.1
python-qtpy 2.4.3-7
python-queuelib 1.10.0-1
python-railroad-diagrams 3.0.1-6
python-rapidfuzz 3.14.6.p1-1.1
python-rarfile 4.5-1
python-ratelimit 2.2.1-4
python-readability-lxml 0.9-1
python-rebulk 6.0.1-1
python-recommonmark 0.7.1-9.2
python-redis 8.1.0-1
python-referencing 0.37.0-3
python-regex 2026.9.3-1.1
python-rencode 1.0.8-3.1
python-reportlab 5.0.1-1
python-requests 2.34.2-1
python-requests-file 2.1.0-3
python-requests-oauthlib 2.0.0-1
python-requests-toolbelt 1.0.0-6
python-resampy 0.4.3-4
python-rich 15.0.0-1
python-rich-argparse 1.8.0-1
python-roman 5.2-2
python-roman-numerals-py 4.1.0-1
python-rpds-py 2026.6.3-1.1
python-rpyc 6.0.1-3
python-rsa 4.9.1-2
python-rtree 1.4.1-2
python-ruamel-yaml 0.19.1-1
python-ruamel.yaml.clib 0.2.15-2.1
python-ruff 0.16.6-1.1
python-rustworkx 0.18.1-2
python-s3transfer 0.16.0-2
python-sabctools 9.6.3-1
python-safetensors 0.8.0-1.1
python-saxonche 12.9.0-1
python-scapy 2.7.0-1
python-schedule 1.2.2-4
python-scikit-build-core 1.0.3-1
python-scikit-learn 1.9.0-2.1
python-scipy 1.18.1-1
python-secretstorage 3.5.0-1
python-selenium 4.46.0-1
python-semantic-version 2.10.0-9
python-semchunk 4.1.1-2
python-semver 3.0.4-2
python-send2trash 2.1.0-1
python-sentence-transformers 6.0.1-1
python-sentencepiece 0.2.2-2.4
python-sentry_sdk 2.68.1-1
python-serializd 0.1.4-1
python-serpent 1.43-1
python-service-identity 26.1.0-1
python-setproctitle 1.3.7-2.1
python-setuptools 1:84.0.0-1
python-setuptools-rust 1.13.0-1
python-setuptools-scm 10.2.3-1
python-sgmllib3k 1.0.0-8
python-shellingham 1.5.4-4
python-shodan 1.31.0-6
python-simple-websocket 1.1.0-2
python-simplejson 4.1.1-1.1
python-six 1.17.0-3
python-smartypants 2.0.2-2
python-smmap 1:6.0.0-3
python-snappy 0.7.2-3
python-sniffio 1.3.1-5
python-snowballstemmer 3.1.1-1
python-socketio 5.16.1-1
python-sortedcontainers 2.4.0-8
python-soundfile 0.14.0-1
python-soupsieve 2.9.2-1
python-soxr 1.1.0-2.1
python-spacy 3.8.14-1
python-spacy-en_core_web_lg 3.8.0-1
python-sphinx 9.1.0-1
python-sphinx-alabaster-theme 1.0.0-6
python-sphinx-basic-ng 1.0.0b2-4
python-sphinx-copybutton 0.5.2-5
python-sphinx-furo 2025.12.19-1
python-sphinx-inline-tabs 2023.04.21-5
python-sphinxcontrib-applehelp 2.0.0-5
python-sphinxcontrib-devhelp 2.0.0-6
python-sphinxcontrib-htmlhelp 2.1.0-5
python-sphinxcontrib-jsmath 1.0.1-21
python-sphinxcontrib-qthelp 2.0.0-5
python-sphinxcontrib-serializinghtml 2.0.0-5
python-sphinxext-opengraph 0.13.0-1
python-sqlalchemy 2.0.51-1.1
python-srsly 1:2.5.3-1
python-sse-starlette 3.4.11-1
python-sshtunnel 0.4.0-9
python-stack-data 0.6.3-5
python-standard-aifc 3.13.0-4
python-standard-cgi 3.13.0-4
python-standard-chunk 3.13.0-4
python-standard-sunau 3.13.0-4
python-starlette 1.6.0-1
python-stem 1.8.3-4
python-stevedore 5.7.0-1
python-stt-bin 1.4.0-2
python-surya-ocr 0.17.1-1
python-sympy 1.14.0-6
python-systemd 236-1.1
python-tabulate 0.10.0-1
python-tblib 3.2.2-2
python-tempora 5.8.1-2
python-tenacity 9.2.0-1
python-tensorflow 2.21.0-1
python-tensorflow-serving-api 2.20.0-1
python-tensorstore 0.1.84-1
python-termcolor 3.3.0-1
python-testtools 2.9.1-1
python-texttable 1.7.0-5
python-thinc 1:8.3.13-1
python-threadpoolctl 3.6.0-1
python-thrift 0.22.0-6.1
python-tidalapi 0.8.11.r6.g7403b3e-1
python-tiktoken 0.14.0-1.1
python-timm 1.0.23-1
python-tinycss2 1.5.1-2
python-tinyhtml5 2.1.0-1
python-tldextract 5.3.2-1
python-tmdbapis 1.2.30-1
python-tokenize-rt 6.2.0-2
python-tokenizers 0.23.2.dev0-1
python-toml 0.10.2-13
python-tomli-w 1.2.0-2
python-tomlkit 0.15.1-1
python-toolz 1.1.0-2
python-torchvision 0.28.0-2.1
python-tornado 6.5.8-1.1
