7zip 26.03-1.1
gsm 1.0.24-1.1
gsocket 1.4.43-1.2
gsound 1.0.3-4.1
gspell 1.14.4-1.1
gssdp 1.6.6-1.1
gssproxy 0.9.2-3.1
gst-devtools-libs 1.28.6-3
gst-editing-services 1.28.6-3
gst-plugin-gtk 1.28.6-3
gst-plugin-gtk4 0.15.3-1.1
gst-plugin-libcamera 0.7.2-4.1
gst-plugin-pipewire 1:1.6.8-1.1
gst-plugin-qml6 1.28.6-3
gst-plugin-rspng 0.15.3-1.1
gst-plugin-rswebp 0.15.3-1.1
gst-plugin-va 1.28.6-3
gst-plugins-bad 1.28.6-3
gst-plugins-bad-libs 1.28.6-3
gst-plugins-base 1.28.6-3
gst-plugins-base-libs 1.28.6-3
gst-plugins-espeak 0.6.0-1.1
gst-plugins-good 1.28.6-3
gst-plugins-ugly 1.28.6-3
gst-python 1.28.6-3
gstreamer 1.28.6-3
gtest 1.18.0-1.1
gtk-doc 1.36.1-1
gtk-update-icon-cache 1:4.22.4-1
gtk-vnc 1.5.0-1.2
gtk2 2.24.33-7
gtk3 1:3.24.52-1.1
gtk4 1:4.22.4-1
gtk4-layer-shell 1.3.0-1.1
gtkmm-4.0 4.22.0-2.1
gtkmm3 3.24.11-1.1
gtksourceview3 1:3.24.11+r30+gd880929f-1.2
gtksourceview4 4.8.4-2.2
gtksourceview5 5.20.0-1.1
gts 0.7.6.121130-5.1
guestfs-tools 1.56.0-1
guetzli 1.0.1-5.2
guile 3.0.11-1.1
gulp 5.0.1-1
gum 2.0.0-1.1
gumbo-parser 0.13.2-1.1
gunicorn 26.2.1-1
gupnp 1:1.6.10-1.1
gupnp-av 0.14.5-1.1
gupnp-dlna 0.12.0-5.1
gupnp-igd 1.6.0-2.1
gvfs 1.60.2-4.1
gvfs-afc 1.60.2-4.1
gvfs-dnssd 1.60.2-4.1
gvfs-goa 1.60.2-4.1
gvfs-gphoto2 1.60.2-4.1
gvfs-mtp 1.60.2-4.1
gvfs-nfs 1.60.2-4.1
gvfs-onedrive 1.60.2-4.1
gvfs-smb 1.60.2-4.1
gvfs-wsdd 1.60.2-4.1
gweather-locations 2026.2-1.1
gwenview 26.08.0-1.1
gzip 1.14-2.2
hackrf 2026.01.3-1.1
harfbuzz 14.4.0-1.1
harfbuzz-icu 14.4.0-1.1
harvid 0.9.1-6.1
hashcat 1:7.1.2-2.1
hashcat-utils 1.10-1.1
haskell-aeson 2.2.2.0-35
haskell-aeson-pretty 0.8.11-19
haskell-ansi-terminal 1.1-94
haskell-ansi-terminal-types 1.1-95
haskell-appar 0.1.8-16
haskell-asciidoc 0.1.0.4-6
haskell-asn1-encoding 0.9.6-378
haskell-asn1-parse 0.9.5-377
haskell-asn1-types 0.3.4-356
haskell-assoc 1.1.1-41
haskell-async 2.2.6-96
haskell-attoparsec 0.14.4-222
haskell-attoparsec-aeson 2.2.2.0-9
haskell-auto-update 0.1.6-496
haskell-base-compat 0.14.1-2
haskell-base-orphans 0.9.4-37
haskell-base-unicode-symbols 0.2.4.2-16
haskell-base16-bytestring 1.0.2.0-227
haskell-base64-bytestring 1.2.1.0-366
haskell-basement 0.0.16-4
haskell-bifunctors 5.6.3-44
haskell-bitvec 1.1.6.0-14
haskell-blaze-builder 0.4.4.1-73
haskell-blaze-html 0.9.2.0-150
haskell-blaze-markup 0.8.3.0-160
haskell-boring 0.2.2-3
haskell-bsb-http-chunked 0.0.0.4-544
haskell-byteorder 1.0.4-27
haskell-call-stack 0.4.0-477
haskell-case-insensitive 1.2.1.0-470
haskell-cassava 0.5.4.1-85
haskell-cborg 0.2.10.0-143
haskell-cereal 0.5.8.3-4
haskell-character-ps 0.1-1
haskell-citeproc 0.13.0.1-7
haskell-clock 0.8.4-219
haskell-cmdargs 0.10.22-4
haskell-colour 2.3.7-61
haskell-commonmark 0.3-4
haskell-commonmark-extensions 0.2.7.1-4
haskell-commonmark-pandoc 0.3-6
haskell-comonad 5.0.10-32
haskell-conduit 1.3.6.1-191
haskell-conduit-extra 1.3.8-136
haskell-constraints 0.14.4-16
haskell-contravariant 1.5.6-1
haskell-cookie 0.5.0-2
haskell-cryptohash-md5 0.11.101.0-249
haskell-crypton 1.0.5-6
haskell-crypton-connection 0.4.5-86
haskell-crypton-socks 0.6.2-64
haskell-crypton-x509 1.7.7-114
haskell-crypton-x509-store 1.6.14-5
haskell-crypton-x509-system 1.6.8-23
haskell-crypton-x509-validation 1.6.14-103
haskell-data-binary-ieee754 0.4.4-24
haskell-data-default 0.7.1.3-107
haskell-data-default-class 0.1.2.2-2
haskell-data-default-instances-containers 0.1.0.3-4
haskell-data-default-instances-dlist 0.0.1.2-210
haskell-data-default-instances-old-locale 0.0.1.2-2
haskell-data-fix 0.3.4-238
haskell-dec 0.0.6-3
haskell-diff 1.0-14
haskell-digest 0.0.2.1-2
haskell-distributive 0.6.3-45
haskell-djot 0.1.4.1-5
haskell-dlist 1.0-461
haskell-doclayout 0.5.0.3-4
haskell-doctemplates 0.11.0.1-138
haskell-easy-file 0.2.5-168
haskell-emojis 0.1.5-21
haskell-erf 2.0.0.0-27
haskell-fast-logger 3.2.4-84
haskell-fgl 5.8.3.1-23
haskell-file-embed 0.0.16.0-2
haskell-generically 0.1.1-135
haskell-generics-sop 0.5.1.4-1
haskell-gitrev 1.3.1-39
haskell-glob 0.10.2-288
haskell-gridtables 0.1.1.0-70
haskell-haddock-library 1.11.0-250
haskell-half 0.3.3-114
